"description","amount","unit","kCalories","protein","carbohydrates","fat","vitA","vitB1","vitB2","vitB3","vitB5","vitB6","vitB9","vitB12","vitC","vitD","vitE","vitK","choline","calcium","copper","iron","magnesium","manganese","phosphorus","potassium","selenium","sodium","zinc","water","fiber","cholesterol","saturatedFat","monoUnsaturatedFat","polyUnsaturatedFat","glycemicIndex","comments",
"Maiz, mote de (Sancochado)",100,"gr","106.50","2.60","21.1","1.3",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,14,0,"1.20",0,0,78,0,0,0,"0.0","74.5",0,0,0,0,0,0,0,0,
"Maiz, para mote pelado",100,"gr","355.70","5.90","78.3","2.1",0,0,0,0,0,0,0,0,"1.90",0,0,0,0,47,0,"3.80",0,0,187,0,0,0,"0.0","12.6",0,0,0,0,0,0,0,0,
"Maiz, para mote sin pelar",100,"gr","351.10","5.70","78.7","1.5",0,0,0,0,0,0,0,0,"2.10",0,0,0,0,9,0,"4.40",0,0,166,0,0,0,"0.0","12.8",0,0,0,0,0,0,0,0,
"Maiz, polenta cruda de",100,"gr","340.00","8.30","74.0","1.2",0,0,0,0,0,0,0,0,"0.90",0,0,0,0,70,0,"2.00",0,0,58,0,0,0,"0.41","13.3",0,0,0,0,0,0,0,0,
"Pan de cebada (Serrano)",100,"gr","295.40","7.20","66.2","0.2",0,0,0,0,0,0,0,0,"-",0,0,0,0,60,0,"6.50",0,0,224,0,0,0,"0.0","24.4",0,0,0,0,0,0,0,0,
"Pan de labranza",100,"gr","328.30","9.60","71.8","0.3",0,0,0,0,0,0,0,0,"1.00",0,0,0,0,40,0,"1.60",0,0,107,0,0,0,"0.0","17.3",0,0,0,0,0,0,0,0,
"Pan de molde",100,"gr","326.50","6.80","69.2","2.5",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,13,0,"0.40",0,0,60,0,0,0,"0.74","20.8",0,0,0,0,0,0,0,0,
"Pan francés",100,"gr","287.00","8.40","62.9","0.2",0,0,0,0,0,0,0,0,"1.00",0,0,0,0,35,0,"1.00",0,0,101,0,0,0,"0.74","27.0",0,0,0,0,0,0,0,0,
"Pan francés fortificado con hierro",100,"gr","287.00","8.40","62.9","0.2",0,0,0,0,0,0,0,0,"1.00",0,0,0,0,35,0,"3.14",0,0,101,0,0,0,"0.74","27.0",0,0,0,0,0,0,0,0,
"Quinua blanca (Junín)",100,"gr","373.40","12.20","67.2","6.2",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,85,0,"4.20",0,0,155,0,0,0,"3.30","11.8",0,0,0,0,0,0,0,0,
